unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,CTRPv2.cellid,gCSI.cellid,GDSC1000.cellid,CGP.tissueid,CCLE.tissueid,GSK.tissueid,GRAY.tissueid,GNE.tissueid,CTRP.tissueid,CGP_EMTAB3610.tissueid,CCLE_rnaseq.tissueid,GDSC.SNP.tissueid,Ben_Neel.tissueid,COSMIC.tissueid,unique.tissueid,CTRPv2.tissueid,gCSI.tissueid,GDSC1000.tissueid
H2369,NA,NA,NA,NA,NA,NA,H2369,NA,H2369,NA,NA,NA,H2369,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,pleura,pleura,NA,NA,pleura
H2373,NA,NA,NA,NA,NA,NA,H2373,NA,H2373,NA,NA,NA,H2373,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,lung,NA,NA,lung
H2461,NA,NA,NA,NA,NA,NA,H2461,NA,H2461,NA,NA,NA,H2461,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,pleura,pleura,NA,NA,pleura
H2591,NA,NA,NA,NA,NA,NA,H2591,NA,H2591,NA,NA,NA,H2591,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,lung,NA,NA,lung
H2595,NA,NA,NA,NA,NA,NA,H2595,NA,H2595,NA,NA,NA,H2595,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,lung,NA,NA,lung
H2722,NA,NA,NA,NA,NA,NA,H2722,NA,H2722,NA,NA,NA,H2722,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,pleura,pleura,NA,NA,pleura
H2731,NA,NA,NA,NA,NA,NA,H2731,NA,H2731,NA,NA,NA,H2731,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,lung,NA,NA,lung
H2795,NA,NA,NA,NA,NA,NA,H2795,NA,H2795,NA,NA,NA,H2795,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,pleura,pleura,NA,NA,pleura
H2803,NA,NA,NA,NA,NA,NA,H2803,NA,H2803,NA,NA,NA,H2803,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,pleura,pleura,NA,NA,pleura
H2804,NA,NA,NA,NA,NA,NA,H2804,NA,H2804,NA,NA,NA,H2804,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,pleura,pleura,NA,NA,pleura
H2810,NA,NA,NA,NA,NA,NA,H2810,NA,H2810,NA,NA,NA,H2810,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,lung,NA,NA,lung
H2818,NA,NA,NA,NA,NA,NA,H2818,NA,H2818,NA,NA,NA,H2818,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,pleura,pleura,NA,NA,pleura
H2869,NA,NA,NA,NA,NA,NA,H2869,NA,H2869,NA,NA,NA,H2869,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,pleura,pleura,NA,NA,pleura
H290,NA,NA,NA,NA,NA,NA,H290,NA,H290,NA,NA,NA,H290,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,pleura,pleura,NA,NA,pleura
H3118,NA,NA,NA,NA,NA,NA,H3118,NA,H3118,NA,NA,NA,H3118,NA,NA,NA,NA,NA,NA,Head & Neck,NA,NA,NA,salivary_gland,salivary_gland,NA,NA,salivary_gland
H322T,NA,NA,NA,NA,H322T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,lung,lung,NA,NA,NA
H3255,NA,NA,NA,NA,NA,NA,H3255,NA,H3255,NA,NA,NA,H3255,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,lung,lung,NA,NA,lung
H4,H4,H4,H4,NA,NA,NA,H4,H4,H4,NA,NA,NA,H4,central_nervous_system,central_nervous_system,central_nervous_system,NA,NA,NA,Brain,central_nervous_system,nervous_system ,NA,central_nervous_system,central_nervous_system,NA,NA,central_nervous_system
H513,NA,NA,NA,NA,NA,NA,H513,NA,H513,NA,NA,NA,H513,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,pleura,pleura,NA,NA,pleura
H9,H9,NA,NA,NA,NA,NA,H9,NA,NA,NA,NA,NA,H9,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Blood,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue
HA7-RCC,HA7-RCC,NA,NA,NA,NA,NA,HA7-RCC,NA,HA7-RCC,NA,NA,NA,HA7-RCC,kidney,NA,NA,NA,NA,NA,Kidney,NA,NA,NA,kidney,kidney,NA,NA,kidney
HAL-01,HAL-01,NA,NA,NA,NA,NA,HAL-01,NA,NA,NA,NA,NA,HAL-01,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Blood,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue
HARA,NA,HARA,NA,NA,NA,HARA,HARA,HARA,HARA,NA,HARA,NA,HARA,NA,lung,NA,NA,NA,LUNG,Lung,breast,NA,NA,breast,breast,lung,NA,breast
HBL-100,NA,NA,NA,HBL100,HBL-100,NA,NA,NA,NA,hbl100,NA,NA,NA,NA,NA,NA,breast,Breast,NA,NA,NA,NA,breast,breast,breast,NA,NA,NA
HC-1,HC-1,NA,NA,NA,NA,NA,HC-1,NA,NA,NA,NA,NA,HC-1,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue
HCA-7,NA,NA,NA,NA,HCA-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colon,NA,NA,NA,NA,NA,large_intestine,large_intestine,NA,NA,NA
HCC-1171,NA,HCC-1171,NA,NA,HCC1171,NA,NA,HCC-1171,NA,NA,HCC1171,NA,NA,NA,lung,NA,NA,Lung,NA,NA,lung,NA,NA,NA,lung,lung,NA,NA
HCC-1195,NA,HCC-1195,NA,NA,NA,HCC1195,NA,HCC-1195,NA,NA,HCC1195,NA,NA,NA,lung,NA,NA,NA,LUNG,NA,lung,NA,NA,NA,lung,lung,NA,NA
HCC-1359,NA,HCC-1359,NA,NA,HCC1359,HCC1359,NA,HCC-1359,NA,NA,NA,NA,NA,NA,lung,NA,NA,Lung,LUNG,NA,lung,NA,NA,NA,lung,NA,NA,NA
HCC-1438,NA,HCC-1438,NA,NA,NA,NA,NA,HCC-1438,NA,NA,HCC1438,NA,NA,NA,lung,NA,NA,NA,NA,NA,lung,NA,NA,NA,lung,lung,NA,NA
HCC-15,NA,HCC-15,NA,NA,HCC-15,HCC15,HCC-15,HCC-15,HCC-15,NA,HCC15,HCC-15,HCC-15,NA,lung,NA,NA,Lung,LUNG,Lung,lung,NA,NA,NA,lung,lung,Lung,lung
HCC-1588,NA,HCC-1588,NA,NA,NA,NA,NA,HCC-1588,NA,NA,HCC1588,NA,NA,NA,lung,NA,NA,NA,NA,NA,lung,NA,NA,NA,lung,lung,NA,NA
HCC-1833,NA,HCC-1833,NA,NA,NA,HCC1833,NA,HCC-1833,NA,NA,HCC1833,NA,NA,NA,lung,NA,NA,NA,LUNG,NA,lung,NA,NA,NA,lung,lung,NA,NA
HCC-1897,NA,HCC-1897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA
HCC-2108,NA,HCC-2108,NA,NA,NA,HCC2108,NA,HCC-2108,NA,NA,HCC2108,NA,NA,NA,lung,NA,NA,NA,LUNG,NA,lung,NA,NA,NA,lung,lung,NA,NA
HCC-2279,NA,HCC-2279,NA,NA,HCC2279,NA,NA,HCC-2279,NA,NA,HCC2279,NA,NA,NA,lung,NA,NA,Lung,NA,NA,lung,NA,NA,NA,lung,lung,NA,NA
HCC-2814,NA,HCC-2814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA
HCC-33,NA,HCC-33,NA,NA,HCC33,HCC33,NA,HCC-33,HCC-33,NA,HCC33,NA,HCC-33,NA,lung,NA,NA,Lung,LUNG,NA,lung,NA,NA,NA,lung,lung,NA,lung
HCC-366,NA,HCC-366,NA,NA,HCC366,NA,HCC-366,HCC-366,HCC-366,NA,HCC366,NA,HCC-366,NA,lung,NA,NA,Lung,NA,Lung,lung,NA,NA,NA,lung,lung,NA,lung
HCC-44,NA,HCC-44,NA,NA,HCC44,HCC44,HCC-44,HCC-44,HCC-44,NA,HCC44,HCC44,HCC-44,NA,lung,NA,NA,Lung,LUNG,Lung,lung,NA,NA,lung,lung,lung,Lung,lung
HCC-56,NA,HCC-56,NA,NA,NA,NA,HCC-56,HCC-56,HCC-56,NA,HCC56,NA,HCC-56,NA,large_intestine,NA,NA,NA,NA,Intestine,large_intestine,NA,NA,large_intestine,large_intestine,large_intestine,NA,large_intestine
HCC-78,NA,HCC-78,NA,NA,HCC78,HCC78,HCC-78,HCC-78,HCC-78,NA,HCC78,HCC78,HCC-78,NA,lung,NA,NA,Lung,LUNG,Lung:NSCLC,lung,NA,NA,NA,lung,lung,Lung,lung
HCC-827-GR5,NA,HCC-827-GR5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA
HCC-95,NA,HCC-95,NA,NA,NA,NA,NA,HCC-95,NA,NA,HCC95,NA,NA,NA,lung,NA,NA,NA,NA,NA,lung,NA,NA,NA,lung,lung,NA,NA
HCC1008,NA,NA,NA,HCC1008,NA,NA,NA,NA,NA,hcc1008,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,breast,breast,breast,NA,NA,NA
HCC1011,NA,NA,NA,NA,HCC1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kidney,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA
HCC1143,HCC1143,HCC1143,HCC1143,HCC1143,HCC1143,NA,HCC1143,HCC1143,HCC1143,hcc1143,HCC1143,HCC1143,HCC1143,breast,breast,breast,breast,Breast,NA,breast,breast,breast ,breast,breast,breast,breast,Breast,breast
HCC1143BL,NA,NA,NA,HCC1143BL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA
HCC1162,NA,NA,NA,NA,HCC1162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uterus,NA,NA,NA,NA,NA,NA,uterus,NA,NA,NA
HCC1187,HCC1187,HCC1187,NA,HCC1187,HCC1187,NA,HCC1187,HCC1187,NA,hcc1187,NA,HCC1187,HCC1187,breast,breast,NA,breast,Breast,NA,Breast,breast,NA,breast,breast,breast,NA,Breast,breast
HCC12,NA,NA,NA,NA,HCC12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kidney,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA
HCC1263,NA,NA,NA,NA,HCC1263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colon,NA,NA,NA,NA,NA,NA,large_intestine,NA,NA,NA
HCC1319,NA,NA,NA,NA,HCC1319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kidney,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA
HCC1395,HCC1395,HCC1395,HCC1395,HCC1395,HCC1395,NA,HCC1395,HCC1395,HCC1395,hcc1395,HCC1395,NA,HCC1395,breast,breast,breast,breast,Breast,NA,0,breast,breast ,breast,breast,breast,breast,NA,breast
HCC1419,HCC1419,HCC1419,NA,HCC1419,HCC1419,NA,HCC1419,HCC1419,HCC1419,hcc1419,HCC1419,HCC1419,HCC1419,breast,breast,NA,breast,Breast,NA,Breast,breast,breast ,breast,breast,breast,breast,Breast,breast
HCC1428,NA,HCC1428,NA,HCC1428,HCC1428,NA,HCC1428,HCC1428,HCC1428,hcc1428,HCC1428,NA,HCC1428,NA,breast,NA,breast,Breast,NA,Breast,breast,NA,breast,breast,breast,breast,NA,breast
HCC1482,NA,NA,NA,NA,HCC1482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uterus,NA,NA,NA,NA,NA,NA,uterus,NA,NA,NA
HCC1493,NA,NA,NA,NA,HCC1493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Breast,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA
HCC1500,NA,HCC1500,NA,NA,HCC1500,NA,HCC1500,HCC1500,HCC1500,hcc1500,HCC1500,NA,HCC1500,NA,breast,NA,NA,Breast,NA,Breast,breast,NA,breast,breast,breast,breast,NA,breast
HCC1534,NA,NA,NA,NA,HCC1534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA
HCC1569,HCC1569,HCC1569,NA,HCC1569,HCC1569,NA,HCC1569,HCC1569,HCC1569,hcc1569,HCC1569,NA,HCC1569,breast,breast,NA,breast,Breast,NA,Breast,breast,breast ,breast,breast,breast,breast,NA,breast
HCC1576,NA,NA,NA,NA,HCC1576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adrenal,NA,NA,NA,NA,NA,NA,adrenal_gland,NA,NA,NA
HCC1599,HCC1599,HCC1599,HCC1599,HCC1599,HCC1599,NA,HCC1599,HCC1599,NA,hcc1599,NA,NA,HCC1599,breast,breast,breast,breast,Breast,NA,breast,breast,NA,breast,breast,breast,NA,NA,breast
HCC1806,HCC1806,HCC1806,NA,HCC1806,HCC1806,NA,HCC1806,HCC1806,HCC1806,hcc1806,HCC1806,HCC1806,HCC1806,breast,breast,NA,breast,Breast,NA,Breast,breast,breast ,breast,breast,breast,breast,Breast,breast
HCC193,NA,NA,NA,NA,HCC193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,lung,lung,NA,NA,NA
HCC1937,HCC1937,HCC1937,HCC1937,HCC1937,HCC1937,NA,HCC1937,HCC1937,HCC1937,hcc1937,HCC1937,HCC1937,HCC1937,breast,breast,breast,breast,Breast,NA,Breast,breast,breast ,breast,breast,breast,breast,Breast,breast
HCC1954,HCC1954,HCC1954,HCC1954,HCC1954,HCC1954,NA,HCC1954,HCC1954,HCC1954,hcc1954,HCC1954,HCC1954,HCC1954,breast,breast,breast,breast,Breast,NA,Breast,breast,breast ,breast,breast,breast,breast,Breast,breast
HCC202,NA,HCC202,NA,HCC202,HCC202,NA,HCC202,HCC202,HCC202,hcc202,HCC202,NA,HCC202,NA,breast,NA,breast,Breast,NA,Breast,breast,NA,breast,breast,breast,breast,NA,breast
HCC2157,HCC2157,HCC2157,HCC2157,NA,HCC2157,NA,HCC2157,HCC2157,HCC2157,NA,NA,NA,HCC2157,breast,breast,breast,NA,Breast,NA,Breast,breast,breast ,NA,breast,breast,NA,NA,breast
HCC2185,NA,NA,NA,HCC2185,NA,NA,NA,NA,NA,hcc2185,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,breast,breast,breast,NA,NA,NA
HCC2218,HCC2218,HCC2218,HCC2218,HCC2218,HCC2218,NA,HCC2218,HCC2218,HCC2218,hcc2218,HCC2218,HCC2218,HCC2218,breast,breast,breast,breast,Breast,NA,Breast,breast,breast ,breast,breast,breast,breast,Breast,breast
HCC2270,NA,NA,NA,NA,HCC2270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA
HCC2302,NA,NA,NA,NA,HCC2302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA
HCC2688,NA,NA,NA,NA,HCC2688,NA,NA,NA,NA,hcc2688,NA,NA,NA,NA,NA,NA,NA,Breast,NA,NA,NA,NA,breast,NA,breast,NA,NA,NA
HCC2885,NA,NA,NA,NA,HCC2885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA
HCC2911,NA,NA,NA,NA,HCC2911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Breast,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA
HCC2935,NA,HCC2935,NA,NA,HCC2935,HCC2935,NA,HCC2935,NA,NA,HCC2935,NA,NA,NA,lung,NA,NA,Lung,LUNG,NA,lung,NA,NA,lung,lung,lung,NA,NA
HCC2998,HCC2998,NA,HCC2998,NA,NA,NA,HCC2998,NA,HCC2998,NA,NA,NA,HCC2998,large_intestine,NA,colon,NA,NA,NA,Intestine,NA,digestive_system ,NA,large_intestine,large_intestine,NA,NA,large_intestine
HCC3153,NA,NA,NA,HCC3153,NA,NA,NA,NA,NA,hcc3153,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,breast,breast,breast,NA,NA,NA
HCC364,NA,HCC364,NA,NA,HCC364,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,Lung,NA,NA,NA,NA,NA,lung,lung,NA,NA,NA
HCC38,HCC38,HCC38,HCC38,HCC38,HCC38,NA,HCC38,HCC38,NA,hcc38,HCC38,HCC38,HCC38,breast,breast,breast,breast,Breast,NA,breast,breast,NA,breast,breast,breast,breast,Breast,breast
HCC38BL,NA,NA,NA,HCC38BL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA
HCC4006,NA,HCC4006,NA,NA,HCC4006,HCC4006,NA,HCC4006,NA,NA,HCC4006,HCC4006,NA,NA,lung,NA,NA,Lung,LUNG,NA,lung,NA,NA,lung,lung,lung,Lung,NA
HCC4011,NA,NA,NA,NA,HCC4011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA
HCC4017,NA,NA,NA,NA,HCC4017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA
HCC461,NA,NA,NA,NA,HCC461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,lung,lung,NA,NA,NA
HCC515,NA,NA,NA,NA,HCC515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,lung,lung,NA,NA,NA
HCC60,NA,NA,NA,NA,HCC60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ovary,NA,NA,NA,NA,NA,ovary,ovary,NA,NA,NA
HCC630,NA,NA,NA,NA,HCC630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ovary,NA,NA,NA,NA,NA,NA,ovary,NA,NA,NA
HCC70,HCC70,HCC70,HCC70,HCC70,HCC70,NA,HCC70,HCC70,HCC70,hcc70,NA,NA,HCC70,breast,breast,breast,breast,Breast,NA,Breast,breast,breast ,breast,breast,breast,NA,NA,breast
HCC712,NA,NA,NA,NA,NA,NA,NA,NA,NA,hcc712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,breast,NA,NA,NA
HCC812,NA,NA,NA,NA,NA,NA,NA,NA,NA,hcc812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,breast,NA,NA,NA
HCC827,NA,HCC827,NA,NA,HCC827,HCC827,HCC-827,HCC827,HCC-827,NA,HCC827,HCC827,HCC-827,NA,lung,NA,NA,Lung,LUNG,Lung,lung,NA,NA,lung,lung,lung,Lung,lung
HCC89,NA,NA,NA,NA,HCC89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kidney,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA
HCE-4,HCE-4,NA,NA,NA,NA,NA,HCE-4,NA,HCE-4,NA,NA,NA,HCE-4,oesophagus,NA,NA,NA,NA,NA,Esophagus,NA,aero_digestive_tract ,NA,oesophagus,oesophagus,NA,NA,oesophagus
HCE-7,NA,NA,NA,NA,NA,NA,HCE-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Esophagus,NA,NA,NA,oesophagus,oesophagus,NA,NA,oesophagus
HCE-T,HCE-T,NA,NA,NA,NA,NA,HCE-T,NA,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,Sinus,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,upper_aerodigestive_tract
HCT-116,HCT-116,HCT 116,HCT116,NA,HCT 116,HCT116,HCT-116,HCT_116,HCT-116,NA,HCT116,HCT 116,HCT-116,large_intestine,large_intestine,colon,NA,Colon,LARGE_INTESTINE,Intestin,large_intestine,digestive_system ,NA,large_intestine,large_intestine,large_intestine,Colon,large_intestine
HCT-15,HCT-15,HCT-15,HCT15,NA,HCT-15,NA,HCT-15,HCT-15,HCT-15,NA,HCT15,HCT-15,HCT-15,large_intestine,large_intestine,colon,NA,Colon,NA,Intestine,large_intestine,digestive_system ,NA,large_intestine,large_intestine,large_intestine,Colon,large_intestine
HCT-8,NA,HCT-8,HCT8,NA,HCT-8,HCT8,NA,NA,NA,NA,HCT8,NA,NA,NA,large_intestine,colon,NA,Ileum,LARGE_INTESTINE,NA,NA,NA,NA,large_intestine,large_intestine,large_intestine,NA,NA
HD-MY-Z,HD-MY-Z,HD-MY-Z,HDMYZ,NA,NA,NA,HD-MY-Z,HD-MY-Z,HD-MY-Z,NA,HDMYZ,NA,HD-MY-Z,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,blood ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue
HDLM-2,HDLM-2,HDLM-2,NA,NA,NA,NA,HDLM-2,NA,HDLM-2,NA,HDLM2,NA,HDLM-2,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,Blood,NA,blood ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue
HDQ-P1,NA,HDQ-P1,NA,HDQP1,NA,NA,HDQ-P1,HDQ-P1,HDQ-P1,hdqp1,HDQP1,HDQ-P1,HDQ-P1,NA,breast,NA,breast,NA,NA,Breast,breast,NA,breast,breast,breast,breast,Breast,breast
HEC-1,HEC-1,HEC-1-B,NA,NA,NA,NA,HEC-1,HEC-1-B,HEC-1,NA,NA,HEC-1-B,HEC-1,endometrium,endometrium,NA,NA,NA,NA,Uterus,endometrium,urogenital_system ,NA,endometrium,endometrium,NA,Uterus,endometrium
HEC-1-A,NA,HEC-1-A,HEC1A,NA,HEC-1-A,NA,NA,HEC-1-A,NA,NA,HEC1A,HEC-1-A,NA,NA,endometrium,uterus,NA,Uterus,NA,NA,endometrium,NA,NA,endometrium,endometrium,endometrium,Uterus,NA
HEC-108,NA,HEC-108,NA,NA,NA,HEC108,NA,HEC-108,NA,NA,HEC108,NA,NA,NA,endometrium,NA,NA,NA,ENDOMETRIUM,NA,endometrium,NA,NA,endometrium,endometrium,endometrium,NA,NA
HEC-151,NA,HEC-151,NA,NA,NA,HEC151,NA,HEC-151,NA,NA,HEC151,HEC-151,NA,NA,endometrium,NA,NA,NA,ENDOMETRIUM,NA,endometrium,NA,NA,endometrium,endometrium,endometrium,Uterus,NA
HEC-251,NA,HEC-251,NA,NA,NA,HEC251,NA,HEC-251,NA,NA,HEC251,HEC-251,NA,NA,endometrium,NA,NA,NA,ENDOMETRIUM,NA,endometrium,NA,NA,endometrium,endometrium,endometrium,Uterus,NA
HEC-265,NA,HEC-265,NA,NA,NA,HEC265,NA,HEC-265,NA,NA,HEC265,HEC-265,NA,NA,endometrium,NA,NA,NA,ENDOMETRIUM,NA,endometrium,NA,NA,endometrium,endometrium,endometrium,Uterus,NA
HEC-50B,NA,HEC-50B,NA,NA,NA,NA,NA,HEC-50B,NA,NA,HEC50B,NA,NA,NA,endometrium,NA,NA,NA,NA,NA,endometrium,NA,NA,endometrium,endometrium,endometrium,NA,NA
HEC-59,NA,HEC-59,NA,NA,NA,HEC59,NA,HEC-59,NA,NA,HEC59,HEC-59,NA,NA,endometrium,NA,NA,NA,ENDOMETRIUM,NA,endometrium,NA,NA,endometrium,endometrium,endometrium,Uterus,NA
HEC-6,NA,HEC-6,NA,NA,NA,HEC6,NA,HEC-6,NA,NA,HEC6,HEC-6,NA,NA,endometrium,NA,NA,NA,ENDOMETRIUM,NA,endometrium,NA,NA,endometrium,endometrium,endometrium,Uterus,NA
HEC1B,NA,NA,HEC1B,NA,NA,NA,NA,NA,NA,NA,HEC1B,NA,NA,NA,NA,uterus,NA,NA,NA,NA,NA,NA,NA,endometrium,endometrium,endometrium,NA,NA
HEK TE,NA,HEK TE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA
HEL,HEL,HEL,NA,NA,HEL,NA,HEL,HEL,HEL,NA,HEL,HEL,HEL,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,Blood,NA,Blood,haematopoietic_and_lymphoid_tissue,blood ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Blood,haematopoietic_and_lymphoid_tissue
HEL 92.1.7,NA,HEL 92.1.7,HEL9217,NA,NA,NA,NA,HEL_92.1.7,NA,NA,HEL9217,NA,NA,NA,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA
HeLa,NA,NA,HELA,NA,HeLa,NA,HeLa,NA,HeLa,NA,HELA,NA,HeLa,NA,NA,cervix,NA,Cervix,NA,Cervix,NA,NA,NA,cervix,cervix,NA,NA,cervix
HeLaSF,HeLaSF,NA,NA,NA,NA,NA,HeLaSF,NA,NA,NA,NA,NA,NA,cervix,NA,NA,NA,NA,NA,Cervix,NA,NA,NA,cervix,cervix,NA,NA,cervix
Hep 3B2.1-7,NA,Hep 3B2.1-7,HEP3B,NA,NA,NA,Hep3B2-1-7,Hep_3B2.1-7,Hep_3B2_1-7,NA,HEP3B217,Hep 3B2.1-7,Hep 3B2_1-7,NA,liver,liver,NA,NA,NA,Liver,liver,NA,NA,NA,liver,liver,Liver,liver
Hep G2,NA,Hep G2,HEPG2,NA,Hep G2,HEPG2,NA,Hep_G2,NA,NA,HEPG2,Hep G2,NA,NA,liver,liver,NA,Liver,LIVER,NA,liver,NA,NA,NA,liver,liver,Liver,NA
HEp-2,NA,NA,NA,NA,HEp-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cervix,NA,NA,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,NA
